Year,Platform_condensed,Global_Sales
1970,2600,0.21
1970,Other,0.87
1970,PS3,0.04
1971,Other,0.0
1977,2600,2.5
1978,2600,2.36
1979,2600,0.31
1979,Other,0.0
1980,2600,2.58
1980,Other,0.0
1981,2600,7.7299999999999995
1981,Other,0.0
1982,2600,31.19
1982,Other,0.0
1983,2600,22.68
1983,NES,0.0
1983,Other,0.0
1984,2600,4.16
1984,NES,0.69
1984,Other,0.0
1985,2600,0.45
1985,NES,1.74
1985,Other,0.0
1986,2600,0.37
1986,NES,9.95
1986,Other,0.03
1987,2600,1.2
1987,NES,4.390000000000001
1987,Other,0.0
1988,2600,1.58
1988,NES,7.15
1988,Other,0.0
1989,2600,0.71
1989,GB,0.0
1989,NES,8.41
1989,Other,0.0
1990,2600,0.15
1990,GB,0.0
1990,NES,6.32
1990,Other,2.6
1991,GB,0.95
1991,NES,1.78
1991,Other,0.0
1991,SNES,3.32
1992,GB,0.9099999999999999
1992,NES,4.24
1992,Other,0.04
1992,SNES,4.19
1993,GB,1.12
1993,NES,2.56
1993,Other,8.17
1993,SNES,9.1
1994,GB,0.0
1994,NES,0.7000000000000001
1994,Other,13.62
1994,PS,0.61
1994,SNES,21.98
1995,GB,0.9199999999999999
1995,Other,15.860000000000001
1995,PS,20.3
1995,SNES,16.36
1996,GB,1.17
1996,N64,3.25
1996,Other,19.24
1996,PS,72.96
1996,SNES,7.61
1997,GB,3.89
1997,N64,15.57
1997,Other,12.69
1997,PS,74.04
1997,SNES,1.45
1998,GB,1.9100000000000001
1998,N64,26.71
1998,Other,4.98
1998,PS,102.09
1998,SNES,0.22000000000000003
1999,GB,2.8000000000000003
1999,N64,27.52
1999,Other,11.18
1999,PS,134.56
1999,SNES,1.45
2000,GB,5.75
2000,N64,18.59
2000,Other,11.600000000000001
2000,PS,105.98
2000,PS2,31.47
2001,GB,4.48
2001,N64,3.5
2001,Other,65.7
2001,PS,36.09
2001,PS2,116.85
2002,GB,0.83
2002,N64,0.08
2002,Other,131.43
2002,PS,8.719999999999999
2002,PS2,176.9
2003,Other,132.09
2003,PS,2.7
2003,PS2,175.19
2004,DS,3.33
2004,Other,129.14000000000001
2004,PS,0.24
2004,PS2,152.47
2005,DS,16.66
2005,Other,153.28
2005,PS2,135.91
2005,X360,7.16
2006,DS,36.81
2006,Other,79.63
2006,PS2,76.98
2006,PS3,10.64
2006,Wii,12.64
2006,X360,26.32
2007,DS,96.93
2007,Other,47.02
2007,PS2,72.42
2007,PS3,61.54
2007,Wii,75.61
2007,X360,82.27
2008,DS,112.58
2008,Other,36.31
2008,PS2,61.28
2008,PS3,105.31
2008,Wii,101.86
2008,X360,121.27
2009,DS,88.57000000000001
2009,Other,52.91
2009,PS2,28.21
2009,PS3,109.61
2009,Wii,107.25
2009,X360,108.6
2010,DS,62.87
2010,Other,37.74
2010,PS2,5.79
2010,PS3,121.95
2010,Wii,83.38
2010,X360,140.5
2011,DS,31.76
2011,Other,70.31
2011,PS2,0.46
2011,PS3,158.07
2011,Wii,38.85
2011,X360,142.41
2012,DS,3.31
2012,Other,60.09
2012,PS3,105.13
2012,Wii,22.0
2012,X360,96.31
2013,DS,1.62
2013,Other,38.32
2013,PS3,94.75
2013,PS4,23.86
2013,Wii,9.37
2013,X360,81.07
2013,XOne,16.93
2014,DS,0.05
2014,Other,42.82
2014,PS3,50.839999999999996
2014,PS4,98.83
2014,Wii,3.84
2014,X360,35.28
2014,XOne,61.38
2015,Other,29.35
2015,PS3,19.92
2015,PS4,121.4
2015,Wii,1.3800000000000001
2015,X360,14.76
2015,XOne,53.22
